time{s},tank\Tank\level,Control\valvecontrol,Control\count
10.0452890221266,2.70321358706768,1,11
10.045335155325,2.70319175501565,1,11
10.0454274217218,2.7031480876274,1,11
10.0456119545153,2.70306077259221,1,11
10.0459810201024,2.70288617763998,1,11
10.0467191512765,2.70253712815168,1,11
10.0481954136248,2.70183959038814,1,11
10.0511479383213,2.70044675610687,1,11
10.0570529877145,2.69767002376849,1,11
10.0688630865007,2.69215207538767,1,11
10.0806731852869,2.68666941616399,1,11
10.0924832840732,2.68122182041128,1,11
10.1161034816457,2.67040822628579,1,11
10.1397236792181,2.65972171910176,1,11
10.1633438767906,2.6491699000674,1,11
10.2105842719356,2.6284689861742,1,11
10.3050650622255,2.58861456803074,1,11
10.3810145062033,2.55803416110526,1,11
10.4569639501811,2.52868854165634,1,11
10.5329133941589,2.50053329724162,1,11
10.6088628381368,2.47351988767797,1,11
10.7607617260924,2.42276149911636,1,11
10.8974707252525,2.38055289905226,1,11
11.0341797244125,2.34137724160947,1,11
11.0452890221266,2.33832020964151,1,11
11.0452890221266,2.33832020964151,1,12
11.0453552655277,2.33830203413426,1,12
11.0454877523299,2.33826568434864,1,12
11.0457527259342,2.33819299806562,1,12
11.0462826731429,2.33804766747414,1,12
11.0473425675604,2.3377571740925,1,12
11.0494623563952,2.33717685775991,1,12
11.0537019340649,2.33601890063553,1,12
11.0621810894042,2.33371363932126,1,12
11.0706602447436,2.33141898193922,1,12
11.0876185554222,2.32687169447602,1,12
11.1028810350331,2.32281280691757,1,12
11.1181435146439,2.31878922767418,1,12
11.1334059942547,2.31479873134256,1,12
11.1639309534763,2.3068924122781,1,12
11.194455912698,2.2991061388986,1,12
11.2249808719196,2.2914462371058,1,12
11.2860307903629,2.27650131129856,1,12
11.3690882221488,2.25694636973656,1,12
11.4521456539347,2.23824894844202,1,12
11.5352030857206,2.22037779560013,1,12
11.6182605175066,2.20329678341029,1,12
11.7843753810784,2.17139197085863,1,12
11.933878758293,2.14505989957719,1,12
12.0452890221266,2.12678974611904,1,12
12.0452890221266,2.12678974611904,1,13
12.0453805043016,2.12677519199298,1,13
12.0455634686516,2.12674608517356,1,13
12.0459293973515,2.12668788608083,1,13
12.0466612547514,2.12657153430371,1,13
12.0481249695512,2.12633901623485,1,13
12.0510523991508,2.12587472085679,1,13
12.05690725835,2.1249490837146,1,13
12.0686169767483,2.12310954896671,1,13
12.0803266951466,2.12128167931103,1,13
12.092036413545,2.1194654007754,1,13
12.1154558503416,2.11585981972417,1,13
12.1388752871383,2.11229625563779,1,13
12.1857141607316,2.10530412943626,1,13
12.232553034325,2.09848702389466,1,13
12.3262307815117,2.08535801522832,1,13
12.4199085286984,2.07288043751874,1,13
12.513586275885,2.06102356685359,1,13
12.6072640230717,2.04975706789099,1,13
12.7946195174451,2.02889040931235,1,13
12.9819750118184,2.01006108493976,1,13
12.9819757265229,2.01006179964425,0,13
12.9819757265229,2.01006179964425,0,14
12.981997010874,2.01008308399536,0,14
12.9820395795762,2.01012565269756,0,14
12.9821247169807,2.01021079010198,0,14
12.9822949917895,2.0103810649108,0,14
12.9826355414071,2.01072161452845,0,14
12.9833166406424,2.01140271376376,0,14
12.984678839113,2.01276491223436,0,14
12.9874032360543,2.01548930917557,0,14
12.9928520299367,2.02093810305798,0,14
13.0037496177015,2.03183569082282,0,14
13.0255447932312,2.05363086635248,0,14
13.0691351442905,2.09722121741182,0,14
13.1563158464092,2.18440191953049,0,14
13.3306772506465,2.35876332376782,0,14
13.6794000591212,2.70748613224249,0,14
13.6794007242572,2.70748581638615,1,14
13.6794007242572,2.70748581638615,1,15
13.679449115784,2.7074628029619,1,15
