"time{s}","pos{rev}","velocity{rad/s}","pwm"
4.94,0.5007927920051591,0.05873085292068916,7.727743805353836E-4
4.96,0.500960696495919,0.05274875146757472,6.940625193101937E-4
4.98,0.5011544694133733,0.060875557393923994,8.00994176235842E-4
5,0.5012990638078176,0.045425668733654175,5.977061675480812E-4
5.02,0.501540873439145,0.07596673613452608,9.995623175595538E-4
5.04,0.5018515246120663,0.09759394426787273,0.0012841308456299043
5.06,0.50214215863795,0.09130537205992861,0.001201386474472745
5.08,0.5024669117458359,0.10202419779649566,0.001342423655217048
5.1,0.5027539489675242,0.09017540269626316,0.0011865184565297785
5.12,0.5031516313550813,0.12493560672117467,0.0016438895621207193
5.14,0.5036332601607177,0.1513081517544481,0.001990896733611159
5.16,0.504111548260999,0.15025863821431196,0.001977087344925157
5.18,0.5045518203783755,0.13831556495303604,0.0018199416441188954
5.2,0.5051107642874266,0.17559740784437203,0.0023104922084785794
5.22,0.505673885515866,0.1769097514345406,0.002327759887296587
5.24,0.5062919784978905,0.19417963715636927,0.002554995225741701
5.26,0.5069845618332159,0.21758147182572654,0.0028629141029700863
5.28,0.507674749115339,0.2168287295118863,0.002853009598840609
5.3,0.5084213545048383,0.23455300067814525,0.00308622369313349
5.32,0.5092459650902165,0.2590590557096488,0.003408671785653274
5.34,0.5100725385901987,0.2596757235196391,0.0034167858357847247
5.36,0.5109604537956156,0.27894678863482525,0.0036703524820371745
5.38,0.5119317714384298,0.30514843709673,0.004015111014430658
5.4,0.512910869171384,0.30759262449953295,0.004047271374993855
5.42,0.5139574990828042,0.3288084840745072,0.004326427422032989
5.44,0.5150940496398546,0.35705788804626454,0.004698130105871902
5.46,0.5162451805852618,0.36163845214111595,0.004758400686067315
5.48,0.5173805641525175,0.35669126738971063,0.004693306149864613
5.5,0.5186595421677549,0.4018027936772731,0.005286878864174646
5.52,0.5199697598308135,0.4116170184868522,0.0054160134011427925
5.54,0.5213638707920357,0.43797287540649393,0.005762800992190709
5.56,0.5227727014839619,0.44259721519072287,0.005823647568298985
5.58,0.5241672088929322,0.43809742313977806,0.005764439778154974
5.6,0.5257069809112042,0.48373364608060043,0.006364916395797374
5.62,0.5272796387802516,0.4940650408009936,0.006500855800013074
5.64,0.5289376959854086,0.5208940334952774,0.006853868861779966
5.66,0.5306117535096431,0.5259206819821556,0.006920008973449415
5.68,0.5322724640210107,0.5217275942252131,0.006864836766121225
5.7,0.5340790338120324,0.5675506383670893,0.007467771557461702
5.72,0.53591862593683,0.5779249104865788,0.007604275137981301
5.74,0.5378432196927753,0.6046289604822545,0.00795564421687177
5.76,0.5397828065112312,0.6093391699860622,0.008017620657711343
5.78,0.5417976708908699,0.6329883133052534,0.008328793596121755
5.8,0.5438191816882054,0.6350763470061818,0.00835626772376555
5.82,0.5459075924639266,0.6560935950683388,0.00863281046142551
5.84,0.5480842530440883,0.6838180887994366,0.008997606431571535
5.86,0.5502722356766964,0.6873750164783627,0.009044408111557404
5.88,0.552529592146417,0.7091694501807626,0.009331176976062665
5.9,0.5547863412985462,0.7089786557324183,0.009328666522794977
5.92,0.5571918257215477,0.7557052191626281,0.009943489725824053
5.94,0.5596293770695989,0.7657793407785471,0.010076043957612463
5.96,0.562057914136575,0.7629474208582702,0.010038781853398291
5.98,0.5644512313911448,0.7518827904666314,0.009893194611403045
6,0.5669664795515215,0.7901885142594509,0.010397217292887511
6.02,0.5695778836307291,0.820396787079322,0.010794694566833183
6.04,0.5721970101095213,0.8228228504595789,0.010826616453415512
6.06,0.5748774438956151,0.8420831090826444,0.011080040908982163
6.08,0.5775460623612361,0.8383712166828661,0.011031200219511397
6.1,0.5802589359416729,0.8522743710418343,0.011214136461076767
6.12,0.5830331636063676,0.871549325079025,0.011467754277355593
6.14,0.5858777438372257,0.8936512355810531,0.011758568889224382
6.16,0.5887094262364791,0.8895992622794413,0.01170525345104528
6.18,0.591490702230009,0.8737636228878877,0.011496889774840627
6.2,0.5943735186436802,0.9056634866837481,0.011916624824786158
6.22,0.5973280458075365,0.92819208328029,0.012213053727372237
6.24,0.6003522743103148,0.9500894047105137,0.012501176377769917
6.26,0.6033591028653299,0.9446230499039421,0.012429250656630817
6.28,0.6063085782036897,0.9266050054935321,0.012192171124914896
6.3,0.6092601444283332,0.9272618767923814,0.012200814168320808
6.32,0.6123185788991267,0.9608355264930871,0.012642572717014305
6.34,0.6154425445844712,0.98142276471448,0.012913457430453683
6.36,0.618535319270349,0.9716238232362192,0.012784523989950253
6.38,0.6216435710097511,0.9764860830013316,0.012848501092122783
6.4,0.6246874580385866,0.9562653128147052,0.012582438326509278
6.42,0.62780661684852,0.9799126402666393,0.012893587371929464
6.44,0.6309648789041213,0.9921972871988501,0.013055227463142765
6.46,0.6341550616761342,1.0022254760164546,0.013187177316005983
6.48,0.63728509995283,0.9833305255522277,0.012938559546739838
6.5,0.6404004150683801,0.978705108062924,0.012877698790301631
6.52,0.6435993681907852,1.0049807628526168,0.013223431090166009
6.54,0.6467454043706566,0.9883564150611478,0.013004689671857209
6.56,0.6499642790010604,1.0112392891702815,0.013305780120661598
6.58,0.6531241983639724,0.9927179456460598,0.013062078232184996
6.6,0.6562608410085466,0.985405348913129,0.012965859854120118
6.62,0.659378516749514,0.979446720409752,0.012887456847496736
6.64,0.6625652286165368,1.0011350590546662,0.013172829724403501
6.66,0.6656802303421269,0.9786066537033009,0.012876403338201328
6.68,0.668756021972597,0.9662884390258379,0.012714321566129446
6.7,0.6718852213726313,0.9830669846764829,0.012935091903637933
6.72,0.6750173116587099,0.9839751833124931,0.012947041885690699
6.74,0.678047017355729,0.9518101160294479,0.012523817316176945
6.76,0.6811029331592994,0.9600442638484971,0.012632161366427593
6.78,0.6841407757903285,0.9543664092403024,0.012557452753161873
6.8,0.6871458889981119,0.9440841576778396,0.012422159969445259
6.82,0.6901092405708104,0.9309643530793442,0.012249530961570318
6.84,0.6931129449334217,0.943641555913572,0.012416336262020685
6.86,0.6961022325789201,0.9391124106564365,0.012356742245479427
6.88,0.6989688731540953,0.9005816971452197,0.011849759172963418
6.9,0.7018388160814453,0.9016191616784854,0.011863410022085335
6.92,0.7046652472005925,0.887949523979051,0.011683546368145408
6.94,0.7075213731101725,0.8972784175264338,0.011806294967453076
6.96,0.7103493337329331,0.8884300317105382,0.011689868838296556
6.98,0.7130390155672647,0.8449884691230025,0.011118269330565823
7,0.7157147718294514,0.8406136216083089,0.011060705547477748
7.02,0.7184186124611376,0.8494365864982988,0.011176797190767088
7.04,0.7210855578929665,0.837845617615829,0.01102428444231354
7.06,0.7236032307670602,0.7909502605395436,0.010407240270257153
7.08,0.7260947327610456,0.7827284360708515,0.01029905836935331
7.1,0.7286010668710452,0.7873880827416069,0.010360369509757985
7.12,0.7311466545482651,0.7997199545822898,0.01052263098134592
7.14,0.7335718183332128,0.7618876730544037,0.010024837803347418
7.16,0.7358992589987621,0.7311870496555635,0.009620882232310045
7.18,0.7382138304303513,0.7271440605689026,0.00956768500748556
7.2,0.7404578745581926,0.7049872546358188,0.009276148087313404
7.22,0.7426999536401125,0.7043699172526908,0.00926802522700909
7.24,0.7448789553258127,0.6845535687955279,0.009007283799941156
7.26,0.7469722631685575,0.6576320540469135,0.008653053342722546
7.28,0.7490552081675965,0.6543764706812311,0.008610216719489881
7.3,0.7510678287698496,0.6322834098501685,0.008319518550660111
7.32,0.753077888636122,0.6314789309157312,0.008308933301522778
7.34,0.7549335231716233,0.5829647824479056,0.007670589242735599
7.36,0.7567485772866352,0.5702160673589172,0.0075028429915647
7.38,0.758561010662486,0.5693927378693678,0.007492009708807472
7.4,0.7603936128872778,0.5757289686357965,0.00757538116626048
7.42,0.762085526894111,0.5315304614372725,0.006993821861016743
7.44,0.7637488512975489,0.5225487726376772,0.0068756417452325936
7.46,0.765330982485811,0.49704117180597307,0.006540015418499645
7.48,0.7668109435762159,0.4649434889214857,0.0061176774858090225
7.5,0.7683547837488475,0.48501169446560266,0.006381732821915825
7.52,0.769766069090313,0.44336836608668473,0.005833794290614273
7.54,0.7711501262613597,0.4348143840708863,0.005721241895669556
7.56,0.772453401648659,0.40943603823435043,0.005387316292557243
7.58,0.7737455092856449,0.40592758600022605,0.005341152447371395
7.6,0.7749659987751207,0.3834280813920657,0.005045106334106127
7.62,0.7760930578439302,0.35407604907337087,0.0046588953825443535
7.64,0.7772030695064899,0.34872044844965017,0.004588426953284871
7.66,0.7783277081735227,0.353315657429332,0.004648890229333316
7.68,0.779309248679344,0.30836004422894703,0.004057369003012461
7.7,0.780261924145068,0.2992918244373505,0.003938050321544085
7.72,0.7812255334332133,0.3027267860568149,0.003983247184958091
7.74,0.7821348786245852,0.28567921727908663,0.0037589370694616664
7.76,0.7828781732242139,0.2335128853647056,0.0030725379653250735
7.78,0.7835796815401894,0.22038533719005782,0.0028998070682902345
7.8,0.7843724082820966,0.24904245086797216,0.0032768743535259498
7.82,0.78514620882647,0.24309661055474552,0.003198639612562441
7.84,0.785781268273595,0.19950980936802423,0.002625129070631898
7.86,0.7863109270358483,0.16639720764047372,0.0021894369426378123
7.88,0.7868252330795681,0.16157400886468068,0.0021259738008510614
7.9,0.787361344757788,0.16842445097998618,0.002216111197105081
7.92,0.7878558139782744,0.15534208705064473,0.0020439748296137467
7.94,0.7882898768993306,0.1363648883985842,0.001794274847349792
7.96,0.7887443244355691,0.14276890412885304,0.0018785382122217507
7.98,0.7890750245161284,0.1038924943626934,0.0013670065047722817
8,0.789402828968185,0.10298280583949786,0.0013550369189407612
8.02,0.7896825701648027,0.0878832888200609,0.001156359063421854
8.04,0.7899910302402069,0.09690559068159109,0.0012750735615998827
8.06,0.7902748868197215,0.08917617448760619,0.0011733707169421866
8.08,0.7905196444451613,0.07689287579919601,0.0010117483657788948
8.1,0.7906285985340539,0.0342289365243337,4.5038074374123294E-4
8.12,0.7908244069343134,0.06151502317670466,8.094081996934824E-4
8.14,0.7910197853522177,0.06137994023580827,8.076307925764246E-4
8.16,0.7911045192557774,0.02661994089333113,3.502623801754096E-4
8.18,0.7912093061515559,0.03291977419702021,4.3315492364500276E-4
8.2,0.7912940465161264,0.026621970679738878,3.5028908789130106E-4
8.22,0.791349352197971,0.017374792378483325,2.2861568919057006E-4
8.24,0.791462654933999,0.03559510431370681,4.683566357066686E-4
8.26,0.7914959706092621,0.010466428065599812,1.3771615875789227E-4
8.28,0.7915762488765161,0.025220161464747103,3.31844229799304E-4
8.3,0.7915741366019008,-6.635906413422819E-4,-8.73145580713529E-6
8.32,0.7916190372703159,0.014105961003427349,1.856047500450967E-4
8.34,0.7916730458156856,0.016967284936457237,2.2325374916391105E-4
8.36,0.7916385576577591,-0.010834774357790561,-1.4256282049724422E-4
8.38,0.7916508810917949,0.0038715209833745197,5.0941065570717366E-5
8.4,0.7916725669732447,0.00681282058494087,8.964237611764302E-5
8.42,0.791696125473199,0.007401121038587473,9.738317156036148E-5
8.44,0.7917200586258757,0.007518821662650126,9.89318639822385E-5
8.46,0.7917440668381186,0.0075424023207959915,9.924213579994725E-5
8.48,0.7917680901912961,0.007547158985758497,9.930472349682233E-5
8.5,0.7917018006734914,-0.020825466214555586,-2.74019292296784E-4
8.52,0.7916819592560684,-0.006233365121304175,-8.201796212242335E-5
8.54,0.7917617233578912,0.02505863163065269,3.2971883724543016E-4
8.56,0.7917968978889848,0.011050404847729837,1.454000637859189E-4
8.58,0.7917328386067631,-0.020124817042161323,-2.6480022423896473E-4
8.6,0.7917134432364568,-0.006093235286825322,-8.01741485108595E-5
8.62,0.7917932965477027,0.02508665759754846,3.3008759996774287E-4
8.64,0.7918284889206811,0.011056010041108991,1.4547381633038146E-4
8.66,0.7917644332068364,-0.02012369600348549,-2.647854737300722E-4
8.68,0.7917450385502054,-0.006093011079090157,-8.017119840908101E-5
8.7,0.7917345759759954,-0.0032869146275444237,-4.32488766782161E-5
8.72,0.7917258996892481,-0.00272573587056861,-3.5864945665376445E-5
8.74,0.7917175805309717,-0.0026135406525067805,-3.438869279614185E-5
8.76,0.791799648697559,0.025782474924412168,3.392430911106864E-4
8.78,0.7918352836545408,0.011195051906481733,1.4730331455897018E-4
8.8,0.791771316070432,-0.02009600923041094,-2.6442117408435444E-4
